LINK,NAME,LIKES,DISLIKES,LIKE RATIO,DIFFICULTY,Accepted,Submitted,Acceptance %
https://leetcode.com/problems/reorder-list,Reorder list,1307,94,0.932905068,Medium,189838,563069,0.34
https://leetcode.com/problems/count-servers-that-communicate,Count servers that communicate,125,9,0.932835821,Medium,8168,14077,0.58
https://leetcode.com/problems/relative-sort-array,Relative sort array,361,26,0.932816537,Easy,35511,53020,0.67
https://leetcode.com/problems/number-of-matching-subsequences,Number of matching subsequences,652,47,0.932761087,Medium,30400,65843,0.46
https://leetcode.com/problems/4sum-ii,4sum ii,886,64,0.932631579,Medium,87530,168010,0.52
https://leetcode.com/problems/unique-paths,Unique paths,2256,163,0.932616784,Medium,375509,741026,0.51
https://leetcode.com/problems/parsing-a-boolean-expression,Parsing a boolean expression,166,12,0.93258427,Hard,7313,12600,0.58
https://leetcode.com/problems/longest-repeating-character-replacement,Longest repeating character replacement,843,61,0.932522124,Medium,47267,104691,0.45
https://leetcode.com/problems/maximum-swap,Maximum swap,717,52,0.932379714,Medium,48828,117902,0.41
https://leetcode.com/problems/distant-barcodes,Distant barcodes,193,14,0.93236715,Medium,10035,24746,0.41
https://leetcode.com/problems/range-sum-query-mutable,Range sum query mutable,964,70,0.932301741,Medium,89433,282773,0.32
https://leetcode.com/problems/boats-to-save-people,Boats to save people,371,27,0.932160804,Medium,22372,49500,0.45
https://leetcode.com/problems/wiggle-subsequence,Wiggle subsequence,714,52,0.932114883,Medium,57457,148685,0.39
https://leetcode.com/problems/sum-of-subarray-minimums,Sum of subarray minimums,755,55,0.932098765,Medium,17796,58982,0.3
https://leetcode.com/problems/longest-string-chain,Longest string chain,396,29,0.931764706,Medium,27251,52364,0.52
https://leetcode.com/problems/find-all-anagrams-in-a-string,Find all anagrams in a string,2086,153,0.931665922,Medium,169498,426074,0.4
https://leetcode.com/problems/total-hamming-distance,Total hamming distance,654,48,0.931623932,Medium,55576,110913,0.5
https://leetcode.com/problems/print-foobar-alternately,Print foobar alternately,177,13,0.931578947,Medium,14496,25274,0.57
